iter	RMSE
0	0.133038134
1	0.1245465334
2	0.117137263
3	0.110727618
4	0.1038693502
5	0.09743886746
6	0.09187418316
7	0.08636797568
8	0.08172477528
9	0.07719892758
10	0.0736050244
11	0.06958248261
12	0.06620338068
13	0.06296215945
14	0.05995737427
15	0.0569989507
16	0.05452175969
17	0.05205793908
18	0.0497462815
19	0.04776877667
20	0.04582510251
21	0.04418369704
22	0.04280228226
23	0.04143305467
24	0.04031302546
25	0.0391410772
26	0.03799940649
27	0.03701250842
28	0.03602519579
29	0.03518316391
30	0.03436148112
31	0.03366499809
32	0.03302759842
33	0.03250193211
34	0.03195864233
35	0.03143523144
36	0.03103629907
37	0.03060463492
38	0.0302811528
39	0.02996738835
40	0.02963186393
41	0.02935768642
42	0.02906128296
43	0.02885561896
44	0.028571992
45	0.02834832659
46	0.02820682498
47	0.02806105846
48	0.02790167176
49	0.02775339056
50	0.02763429545
51	0.02748395415
52	0.02733605639
53	0.0271977324
54	0.02706659378
55	0.0269694113
56	0.02689065168
57	0.02675297445
58	0.02667053413
59	0.02660338653
60	0.02649016015
61	0.02643335061
62	0.02636813254
63	0.02629604992
64	0.02625217264
65	0.02618796418
66	0.02615565203
67	0.02607581147
68	0.02600002481
69	0.02593717366
70	0.02587368031
71	0.02582151419
72	0.02577876449
73	0.02571163829
74	0.02567316032
75	0.02563645273
76	0.02558764529
77	0.02555705957
78	0.02550437665
79	0.02545491592
80	0.02541091754
81	0.02535800363
82	0.02532461519
83	0.02528279075
84	0.0252181639
85	0.02519491985
86	0.0251773999
87	0.02516058584
88	0.02509892045
89	0.02504892496
90	0.02498762636
91	0.02494840543
92	0.02492032403
93	0.0248888433
94	0.02482818729
95	0.02481250163
96	0.02480008124
97	0.02477827147
98	0.02476424116
99	0.02474804954
100	0.02472402425
101	0.02469014989
102	0.02467838621
103	0.02466511001
104	0.02464981453
105	0.02463314938
106	0.02460593916
107	0.02457769221
108	0.02456614097
109	0.02455415428
110	0.02454195866
111	0.02452437777
112	0.02450497417
113	0.02446308411
114	0.02444668445
115	0.02441218961
116	0.0243847659
117	0.02436096174
118	0.02435462137
119	0.02431077399
120	0.02429149091
121	0.02427794888
122	0.02426727365
123	0.02423823335
124	0.0242326131
125	0.02421801532
126	0.02421226142
127	0.02418476009
128	0.02415806691
129	0.02414528262
